"ELM"	"GOTerm"
"DEG_Cend_DCAF12_1"	"GO:0043161"
"DEG_Cend_DCAF12_1"	"GO:0005515"
"DEG_Cend_DCAF12_1"	"GO:0019904"
"DEG_Cend_DCAF12_1"	"GO:0004842"
"DEG_Cend_FEM1AC_1"	"GO:0000074"
"DEG_Cend_FEM1AC_1"	"GO:0031462"
"DEG_Cend_FEM1AC_1"	"GO:0005829"
"DEG_Cend_FEM1AC_1"	"GO:0005634"
"DEG_Cend_FEM1AC_1"	"GO:0043161"
"DEG_Cend_FEM1AC_1"	"GO:0005515"
"DEG_Cend_FEM1AC_1"	"GO:0019904"
"DEG_Cend_FEM1AC_1"	"GO:0004842"
"DEG_Cend_FEM1B_2"	"GO:0000074"
"DEG_Cend_FEM1B_2"	"GO:0031462"
"DEG_Cend_FEM1B_2"	"GO:0005829"
"DEG_Cend_FEM1B_2"	"GO:0005634"
"DEG_Cend_FEM1B_2"	"GO:0043161"
"DEG_Cend_FEM1B_2"	"GO:0005515"
"DEG_Cend_FEM1B_2"	"GO:0019904"
"DEG_Cend_FEM1B_2"	"GO:0004842"
"DEG_Cend_KLHDC2_1"	"GO:0000074"
"DEG_Cend_KLHDC2_1"	"GO:0005829"
"DEG_Cend_KLHDC2_1"	"GO:1990615"
"DEG_Cend_KLHDC2_1"	"GO:0005634"
"DEG_Cend_KLHDC2_1"	"GO:0043161"
"DEG_Cend_KLHDC2_1"	"GO:0005515"
"DEG_Cend_KLHDC2_1"	"GO:0019904"
"DEG_Cend_KLHDC2_1"	"GO:0001514"
"DEG_Cend_KLHDC2_1"	"GO:0004842"
"DEG_Cend_TRIM7_1"	"GO:0000074"
"DEG_Cend_TRIM7_1"	"GO:0005829"
"DEG_Cend_TRIM7_1"	"GO:0045087"
"DEG_Cend_TRIM7_1"	"GO:0005634"
"DEG_Cend_TRIM7_1"	"GO:0043161"
"DEG_Cend_TRIM7_1"	"GO:0005515"
"DEG_Cend_TRIM7_1"	"GO:0019904"
"DEG_Cend_TRIM7_1"	"GO:0004842"
"DEG_Kelch_KLHL12_1"	"GO:0030135"
"DEG_Kelch_KLHL12_1"	"GO:0048208"
"DEG_Kelch_KLHL12_1"	"GO:0031463"
"DEG_Kelch_KLHL12_1"	"GO:0030659"
"DEG_Kelch_KLHL12_1"	"GO:0005829"
"DEG_Kelch_KLHL12_1"	"GO:0043161"
"DEG_Kelch_KLHL12_1"	"GO:0006511"
"DEG_Kelch_KLHL12_1"	"GO:0031625"
"DEG_Kelch_KLHL12_1"	"GO:0016055"
"DEG_Kelch_KLHL3_1"	"GO:0005829"
"DEG_Kelch_KLHL3_1"	"GO:0006811"
"DEG_Kelch_KLHL3_1"	"GO:0043161"
"DEG_Kelch_KLHL3_1"	"GO:0019904"
"DEG_Kelch_KLHL3_1"	"GO:0019901"
"DEG_Kelch_KLHL3_1"	"GO:0007243"
"DEG_Kelch_KLHL3_1"	"GO:0006511"
"DEG_Kelch_Keap1_1"	"GO:0005776"
"DEG_Kelch_Keap1_1"	"GO:0034599"
"DEG_Kelch_Keap1_1"	"GO:0031463"
"DEG_Kelch_Keap1_1"	"GO:0005829"
"DEG_Kelch_Keap1_1"	"GO:0016236"
"DEG_Kelch_Keap1_1"	"GO:0005634"
"DEG_Kelch_Keap1_1"	"GO:0043161"
"DEG_Kelch_Keap1_1"	"GO:0019904"
"DEG_Kelch_Keap1_1"	"GO:0019901"
"DEG_Kelch_Keap1_1"	"GO:0031396"
"DEG_Kelch_Keap1_1"	"GO:0006511"
"DEG_Kelch_Keap1_1"	"GO:0004842"
"DEG_Kelch_Keap1_2"	"GO:0005776"
"DEG_Kelch_Keap1_2"	"GO:0034599"
"DEG_Kelch_Keap1_2"	"GO:0031463"
"DEG_Kelch_Keap1_2"	"GO:0005829"
"DEG_Kelch_Keap1_2"	"GO:0016236"
"DEG_Kelch_Keap1_2"	"GO:0005634"
"DEG_Kelch_Keap1_2"	"GO:0043161"
"DEG_Kelch_Keap1_2"	"GO:0019904"
"DEG_Kelch_Keap1_2"	"GO:0019901"
"DEG_Kelch_Keap1_2"	"GO:0031396"
"DEG_Kelch_Keap1_2"	"GO:0006511"
"DEG_Kelch_Keap1_2"	"GO:0004842"
"DEG_Kelch_actinfilin_1"	"GO:0031463"
"DEG_Kelch_actinfilin_1"	"GO:0005829"
"DEG_Kelch_actinfilin_1"	"GO:0008328"
"DEG_Kelch_actinfilin_1"	"GO:0045211"
"DEG_Kelch_actinfilin_1"	"GO:0043161"
"DEG_Kelch_actinfilin_1"	"GO:0019904"
"DEG_Kelch_actinfilin_1"	"GO:0043113"
"DEG_Kelch_actinfilin_1"	"GO:0031396"
"DEG_Kelch_actinfilin_1"	"GO:0007268"
"DEG_Kelch_actinfilin_1"	"GO:0006511"
"DEG_MDM2_SWIB_1"	"GO:0006915"
"DEG_MDM2_SWIB_1"	"GO:0007569"
"DEG_MDM2_SWIB_1"	"GO:0007050"
"DEG_MDM2_SWIB_1"	"GO:0008283"
"DEG_MDM2_SWIB_1"	"GO:0005829"
"DEG_MDM2_SWIB_1"	"GO:0006281"
"DEG_MDM2_SWIB_1"	"GO:0097371"
"DEG_MDM2_SWIB_1"	"GO:0005634"
"DEG_MDM2_SWIB_1"	"GO:0000211"
"DEG_MDM2_SWIB_1"	"GO:0061630"
"DEG_Nend_Nbox_1"	"GO:0005829"
"DEG_Nend_Nbox_1"	"GO:0000209"
"DEG_Nend_Nbox_1"	"GO:0071596"
"DEG_Nend_Nbox_1"	"GO:0004842"
"DEG_Nend_UBRbox_1"	"GO:0005829"
"DEG_Nend_UBRbox_1"	"GO:0000209"
"DEG_Nend_UBRbox_1"	"GO:0071596"
"DEG_Nend_UBRbox_1"	"GO:0004842"
"DEG_Nend_UBRbox_2"	"GO:0005829"
"DEG_Nend_UBRbox_2"	"GO:0000209"
"DEG_Nend_UBRbox_2"	"GO:0071596"
"DEG_Nend_UBRbox_2"	"GO:0004842"
"DEG_Nend_UBRbox_3"	"GO:0005829"
"DEG_Nend_UBRbox_3"	"GO:0000209"
"DEG_Nend_UBRbox_3"	"GO:0071596"
"DEG_Nend_UBRbox_3"	"GO:0004842"
"DEG_Nend_UBRbox_4"	"GO:0005829"
"DEG_Nend_UBRbox_4"	"GO:0000209"
"DEG_Nend_UBRbox_4"	"GO:0071596"
"DEG_Nend_UBRbox_4"	"GO:0004842"
"DEG_ODPH_VHL_1"	"GO:0005829"
"DEG_ODPH_VHL_1"	"GO:0005634"
"DEG_ODPH_VHL_1"	"GO:0005515"
"DEG_ODPH_VHL_1"	"GO:0006355"
"DEG_ODPH_VHL_1"	"GO:0001666"
"DEG_ODPH_VHL_1"	"GO:0004871"
"DEG_ODPH_VHL_1"	"GO:0007165"
"DEG_SCF_COI1_1"	"GO:0009867"
"DEG_SCF_COI1_1"	"GO:0005634"
"DEG_SCF_COI1_1"	"GO:0005515"
"DEG_SCF_COI1_1"	"GO:0031396"
"DEG_SCF_COI1_1"	"GO:0019005"
"DEG_SCF_COI1_1"	"GO:0006511"
"DEG_SCF_COI1_1"	"GO:0004842"
"DEG_SCF_FBW7_1"	"GO:0005829"
"DEG_SCF_FBW7_1"	"GO:0005634"
"DEG_SCF_FBW7_1"	"GO:0005515"
"DEG_SCF_FBW7_1"	"GO:0031396"
"DEG_SCF_FBW7_1"	"GO:0004840"
"DEG_SCF_FBW7_1"	"GO:0006511"
"DEG_SCF_FBW7_1"	"GO:0004842"
"DEG_SCF_FBW7_2"	"GO:0005829"
"DEG_SCF_FBW7_2"	"GO:0005634"
"DEG_SCF_FBW7_2"	"GO:0005515"
"DEG_SCF_FBW7_2"	"GO:0031396"
"DEG_SCF_FBW7_2"	"GO:0004840"
"DEG_SCF_FBW7_2"	"GO:0006511"
"DEG_SCF_FBW7_2"	"GO:0004842"
"DEG_SCF_FBXO31_1"	"GO:0005829"
"DEG_SCF_FBXO31_1"	"GO:0031575"
"DEG_SCF_FBXO31_1"	"GO:0005634"
"DEG_SCF_FBXO31_1"	"GO:0005515"
"DEG_SCF_FBXO31_1"	"GO:0000209"
"DEG_SCF_FBXO31_1"	"GO:0031396"
"DEG_SCF_FBXO31_1"	"GO:0019005"
"DEG_SCF_FBXO31_1"	"GO:0006511"
"DEG_SCF_FBXO31_1"	"GO:0004842"
"DEG_SCF_SKP2-CKS1_1"	"GO:0005829"
"DEG_SCF_SKP2-CKS1_1"	"GO:0031575"
"DEG_SCF_SKP2-CKS1_1"	"GO:0005634"
"DEG_SCF_SKP2-CKS1_1"	"GO:0005515"
"DEG_SCF_SKP2-CKS1_1"	"GO:0000209"
"DEG_SCF_SKP2-CKS1_1"	"GO:0019005"
